Country,Number of nodes (1st day)
Unknown,572
Afghanistan,3
Aland Islands,1
Albania,15
Algeria,18
Andorra,2
Angola,10
Anonymous Proxy,23
Antigua and Barbuda,2
Argentina,663
Armenia,14
Aruba,8
Asia/Pacific Region,2
Australia,2364
Austria,828
Azerbaijan,24
Bahamas,9
Bahrain,13
Bangladesh,9
Barbados,11
Belarus,486
Belgium,726
Belize,7
Benin,2
Bermuda,11
Bolivia,15
"Bonaire, Saint Eustatius and S",1
Bosnia and Herzegovina,49
Botswana,2
Brazil,1476
Brunei Darussalam,3
Bulgaria,461
Burkina Faso,1
Cambodia,13
Cameroon,2
Canada,4664
Cayman Islands,5
Chile,232
China,16700
Colombia,166
"Congo, The Democratic Republic",1
Costa Rica,37
Cote D'Ivoire,12
Croatia,222
Cyprus,58
Czech Republic,1403
Denmark,553
Djibouti,1
Dominican Republic,43
Ecuador,55
Egypt,41
El Salvador,15
Estonia,206
Ethiopia,2
Europe,28
Faroe Islands,2
Finland,901
France,2752
French Guiana,1
French Polynesia,4
Georgia,21
Germany,7695
Ghana,20
Gibraltar,2
Greece,458
Guadeloupe,2
Guam,5
Guatemala,23
Guernsey,2
Guyana,1
Haiti,1
Honduras,7
Hong Kong,648
Hungary,502
Iceland,70
India,502
Indonesia,127
"Iran, Islamic Republic of",44
Iraq,7
Ireland,397
Isle of Man,23
Israel,540
Italy,1572
Jamaica,13
Japan,843
Jersey,10
Jordan,22
Kazakhstan,154
Kenya,16
"Korea, Republic of",369
Kuwait,27
Kyrgyzstan,23
Lao People's Democratic Republ,8
Latvia,149
Lebanon,16
Lesotho,1
Libyan Arab Jamahiriya,3
Liechtenstein,4
Lithuania,390
Luxembourg,63
Macau,39
Macedonia,44
Madagascar,5
Malawi,1
Malaysia,259
Maldives,3
Mali,2
Malta,33
Martinique,4
Mauritius,3
Mexico,422
"Moldova, Republic of",65
Monaco,5
Mongolia,4
Montenegro,11
Morocco,44
Mozambique,5
Myanmar,1
Namibia,9
Nepal,7
Netherlands,4070
New Caledonia,3
New Zealand,395
Nicaragua,9
Nigeria,18
Norway,1016
Oman,5
Pakistan,47
Palestinian Territory,12
Panama,40
Paraguay,21
Peru,77
Philippines,141
Poland,2265
Portugal,449
Puerto Rico,45
Qatar,27
Reunion,9
Romania,468
Russian Federation,6848
Saint Lucia,1
Saint Vincent and the Grenadin,1
San Marino,1
Satellite Provider,7
Saudi Arabia,78
Senegal,5
Serbia,184
Seychelles,1
Singapore,330
Slovakia,554
Slovenia,211
South Africa,278
Spain,1726
Sri Lanka,7
Sudan,2
Suriname,6
Swaziland,1
Sweden,1366
Switzerland,933
Syrian Arab Republic,4
Taiwan,1375
Tajikistan,2
"Tanzania, United Republic of",6
Thailand,234
Tonga,1
Trinidad and Tobago,21
Tunisia,48
Turkey,459
Turkmenistan,1
Uganda,7
Ukraine,1688
United Arab Emirates,90
United Kingdom,6849
United States,24621
Uruguay,81
Uzbekistan,9
Venezuela,138
Vietnam,108
"Virgin Islands, U.S.",2
Yemen,3
Zambia,1
Zimbabwe,1
